,observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing
ob101,ob058,imp,ob058-1,pre,1,15:05,1,17:05,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob101,ob059,imp,ob059-1,pre,1,14:56,1,16:56,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob102,ob061,gz,ob061-2,pre,2,11:06,2,13:06,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob103,ob063,imp,ob063-1,pre,1,15:02,1,17:02,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob103,ob063,imp,ob063-2,pre,2,14:59,2,16:59,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob104,ob064,imp,ob064-2,pre,2,10:36,2,12:36,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob104,ob065,imp,ob065-2,pre,2,10:49,2,12:49,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob104,ob066,gz,ob066-1,pre,1,13:52,1,15:52,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ob105,ob068,imp,ob068-1,pre,1,14:05,1,16:05,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob105,ob068,imp,ob068-2,pre,2,13:27,2,15:27,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ob106,ob070,pz,ob070-2,pre,2,9:49,2,11:49,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob106,ob071,imp,ob071-1,pre,1,16:23,1,18:23,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob107,ob074,gz,ob074-1,pre,1,12:10,1,14:10,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob107,ob074,gz,ob074-2,pre,2,14:44,2,16:44,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ob107,ob075,imp,ob075-1,pre,1,14:49,1,16:49,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob109,ob079,buf,ob079-1,pre,1,11:56,1,13:56,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
ob110,ob081,pz,ob081-1,pre,1,15:52,1,17:52,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ob110,ob081,pz,ob081-2,pre,2,15:41,2,17:41,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ob110,ob083,gz,ob083-1,pre,1,13:10,1,15:10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
