flight,flight_type,launchtime_vid,gimbaldown_vid,gohome_vid,landed_vid,exclude,exclude_log,note,launchtime_log,gimbaldown_log,gohome_log,landed_log,landed_log_type,offset,max_discrep,mean_discrep,max_discrep_point
083-02,replacement,6000.0,96000.0,1079000.0,1212000.0,,,,3100.0,93000.0,1074700.0,1208900.0,ascent_m_0,3050.0,1250.0,375.0,home
083-03,replacement,,93000.0,1038000.0,1173000.0,,,"look like previous drone goes home at 2:16, but actually we manually piloted away from the group, then engaged Go Home.",6500.0,105400.0,1047300.0,1183900.0,ascent_m_0,-10900.0,1600.0,1033.3333333333333,home
084-01,initial,10000.0,121000.0,369000.0,1066000.0,,,,8000.0,119100.0,366900.0,1065000.0,ascent_m_0,1950.0,950.0,300.0,land
084-02,replacement,,11000.0,1014000.0,1114000.0,,,,4100.0,64100.0,1065300.0,1167900.0,ascent_m_0,-53100.0,1800.0,866.6666666666666,home
084-03,replacement,,42000.0,1011000.0,1122000.0,,,,4000.0,115500.0,1081800.0,1194500.0,ascent_m_0,-72500.0,1700.0,900.0,home
085-01,initial,2000.0,107000.0,1239000.0,1360000.0,,,,6300.0,110700.0,1241400.0,1363400.0,ascent_m_0,-3550.0,1150.0,550.0,home
085-02,replacement,36000.0,121000.0,1239000.0,1353000.0,,,,4900.0,89300.0,1206800.0,1320600.0,ascent_m_0,31950.0,850.0,450.0,launch
085-03,replacement,3000.0,96000.0,1149000.0,1266000.0,,,,5800.0,99800.0,1151900.0,1270200.0,ascent_m_0,-3350.0,850.0,575.0,land
086-01,initial,8000.0,59000.0,774000.0,901000.0,,,,73600.0,124900.0,839500.0,968300.0,ascent_m_0,-65750.0,1550.0,525.0,land
087-01,initial,3000.0,137000.0,1185000.0,1305000.0,,,,6200.0,139500.0,1184900.0,1308800.0,ascent_m_0,-2850.0,2950.0,1150.0,home
087-02,replacement,14000.0,80000.0,1184000.0,1304000.0,,,,4500.0,69700.0,1172500.0,1293200.0,ascent_m_0,10550.0,1050.0,625.0,launch
087-03,replacement,,,,,True,True,camera malfunction - flight aborted; cannot assess behavior in 1-sec clips,7100.0,98800.0,510100.0,635800.0,ascent_m_0,,,,
087-04,replacement,34000.0,118000.0,1098000.0,1241000.0,,,,4300.0,,1066400.0,1210800.0,ascent_m_0,30200.0,1400.0,633.3333333333334,home
087-05,replacement,2000.0,107000.0,1049000.0,1207000.0,,,,5500.0,110200.0,1050300.0,1209100.0,ascent_m_0,-2650.0,1350.0,825.0,home
